cell,axis,level,arm,n,n_bootstrap,min_nuisance,max_updates,procedure,type,event,time,group,reps,reps_with_ci,missing_ci,reps_attempted,reps_failed,completion,truth,bias,bias_mc_se,emp_sd,std_bias,mean_se,se_ratio,rmse,coverage,coverage_mc_se,mean_width,median_width,frac_outside_support,excludes_null,miss_left,miss_right,mean_eff_b,min_eff_b
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,wald,rd,1,0.477676,-1,250,250,0,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.025395937333089987,1.0071615385724282,0.02516501538623956,0.964,0.011782020200288238,0.09955024505298513,0.09925666113403007,0.0,0.132,0.028,0.008,,
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,pct_all,rd,1,0.477676,-1,250,250,0,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.024090580075528025,0.955393194420792,0.02516501538623956,0.912,0.01791714262933685,0.0944333386294263,0.09472029681629152,0.0,0.184,0.056,0.032,100.0,100.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,basic_all,rd,1,0.477676,-1,250,250,0,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.024090580075528025,0.955393194420792,0.02516501538623956,0.948,0.014042222046385685,0.0944333386294263,0.09472029681629152,0.0,0.104,0.032,0.02,100.0,100.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,pct_convfilter,rd,1,0.477676,-1,250,246,4,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.023615728707021066,0.9365613620443769,0.02516501538623956,0.9186991869918699,0.01742475003755663,0.09257195546885989,0.09350774601354278,0.0,0.16666666666666666,0.056910569105691054,0.024390243902439025,90.072,0.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,basic_convfilter,rd,1,0.477676,-1,250,246,4,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.023615728707021066,0.9365613620443769,0.02516501538623956,0.9552845528455285,0.01317733579366068,0.09257195546885989,0.09350774601354278,0.0,0.13008130081300814,0.036585365853658534,0.008130081300813009,90.072,0.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,bca_convfilter,rd,1,0.477676,-1,250,246,4,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.023805314522443388,0.9440800269019824,0.02516501538623956,0.9024390243902439,0.018918184099572553,0.09331511820927471,0.09448293754622789,0.0,0.27235772357723576,0.06097560975609756,0.036585365853658534,90.072,0.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,pct_dropmode1,rd,1,0.477676,-1,250,243,7,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.023314864299760516,0.924629569358647,0.02516501538623956,0.9135802469135802,0.018025060214382285,0.09139258866393855,0.09164353062011016,0.0,0.1646090534979424,0.06172839506172839,0.024691358024691357,83.32,0.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,basic_dropmode1,rd,1,0.477676,-1,250,243,7,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.023314864299760516,0.924629569358647,0.02516501538623956,0.9547325102880658,0.01333616391051813,0.09139258866393855,0.09164353062011016,0.0,0.13991769547325103,0.03292181069958848,0.012345679012345678,83.32,0.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,pct_strict,rd,1,0.477676,-1,250,243,7,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.023314864299760516,0.924629569358647,0.02516501538623956,0.9135802469135802,0.018025060214382285,0.09139258866393855,0.09164353062011016,0.0,0.1646090534979424,0.06172839506172839,0.024691358024691357,83.32,0.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,basic_strict,rd,1,0.477676,-1,250,243,7,250,0,1.0,-0.022640969056690715,8.395562676744661e-05,0.0015947591763938534,0.02521535658429403,0.0033295435060291916,0.023314864299760516,0.924629569358647,0.02516501538623956,0.9547325102880658,0.01333616391051813,0.09139258866393855,0.09164353062011016,0.0,0.13991769547325103,0.03292181069958848,0.012345679012345678,83.32,0.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,wald,rd,1,3.11961,-1,250,250,0,250,0,1.0,-0.10970149312307753,0.0010418793903318212,0.0035823661216849772,0.05664218178574221,0.018394054704193613,0.05348438729151294,0.9442501260602194,0.05653838451073101,0.928,0.01634821091128934,0.2096549456531143,0.20971275392118952,0.0,0.512,0.044,0.028,,
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,pct_all,rd,1,3.11961,-1,250,250,0,250,0,1.0,-0.10970149312307753,0.0010418793903318212,0.0035823661216849772,0.05664218178574221,0.018394054704193613,0.05199506038912076,0.9179565255060284,0.05653838451073101,0.928,0.01634821091128934,0.2038168914733237,0.20308742275448663,0.0,0.564,0.04,0.032,100.0,100.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,basic_all,rd,1,3.11961,-1,250,250,0,250,0,1.0,-0.10970149312307753,0.0010418793903318212,0.0035823661216849772,0.05664218178574221,0.018394054704193613,0.05199506038912076,0.9179565255060284,0.05653838451073101,0.912,0.01791714262933685,0.2038168914733237,0.20308742275448663,0.0,0.544,0.052,0.036,100.0,100.0
BS12_n250_oracle,base,base,oracle,250,100,0.01,200,pct_convfilter,rd,1,3.11961,-1,250,250,0,250,0,1.0,-0.10970149312307753,0.0010418793903318212,0.0035823661216849772,0.05664218178574221,0.018394054704193613,0.05199605610598864,0.9179741045758397,0.05653838451073101,0.928,0.01634821091128934,0.2038207946117234,0.20308742275448663,0.0,0.564,0.04,0.032,99.988,98.0
